date,tesla,general motors,GM,ford,car,oil price,industry,supply,self driving,autonomous vehicle
2018-09-16,6,0,4,41,89,9,35,80,1,0
2018-09-23,7,0,5,45,87,10,34,77,1,0
2018-09-30,8,0,5,42,86,12,36,75,1,0
2018-10-07,7,0,4,37,84,11,35,76,1,0
2018-10-14,7,0,4,36,84,11,33,77,1,0
2018-10-21,7,0,5,35,83,10,34,75,1,0
2018-10-28,6,0,5,35,82,9,35,72,1,0
2018-11-04,6,0,4,35,82,10,31,73,1,0
2018-11-11,6,0,4,35,81,14,35,75,1,0
2018-11-18,5,0,4,34,81,14,31,74,1,0
2018-11-25,6,1,7,34,83,14,36,76,1,0
2018-12-02,6,0,5,34,84,13,35,74,1,0
2018-12-09,6,0,4,35,83,10,33,76,1,0
2018-12-16,6,0,4,34,86,13,29,71,1,0
2018-12-23,6,0,4,33,87,12,21,66,0,0
2018-12-30,7,0,4,35,88,11,24,66,1,0
2019-01-06,6,0,4,36,88,11,32,70,1,0
2019-01-13,6,0,4,38,87,9,32,71,1,0
2019-01-20,6,0,4,35,88,9,32,72,1,0
2019-01-27,6,0,4,37,92,9,34,75,1,0
2019-02-03,6,0,5,37,89,8,35,73,1,0
2019-02-10,6,0,5,38,87,9,34,74,1,0
2019-02-17,6,0,4,41,91,8,35,76,1,0
2019-02-24,8,0,4,37,93,8,35,75,1,0
2019-03-03,8,0,4,36,94,8,35,76,1,0
2019-03-10,10,0,4,37,92,8,36,78,1,0
2019-03-17,8,0,4,39,93,8,34,78,1,0
2019-03-24,7,0,4,38,95,8,35,79,1,0
2019-03-31,7,0,4,39,93,9,34,80,1,0
2019-04-07,7,0,4,36,91,8,33,77,1,0
2019-04-14,6,0,4,35,91,7,31,76,1,0
2019-04-21,9,0,4,36,93,9,32,80,2,0
2019-04-28,7,0,4,35,93,8,33,76,1,0
2019-05-05,8,0,4,34,91,7,32,79,1,0
2019-05-12,8,0,4,35,88,8,32,77,1,0
2019-05-19,8,0,4,35,89,8,30,77,1,0
2019-05-26,7,0,4,35,92,7,30,76,1,0
2019-06-02,8,0,4,36,95,9,28,80,1,0
2019-06-09,7,0,4,36,92,9,30,84,1,0
2019-06-16,7,0,4,37,95,8,31,79,1,0
2019-06-23,7,0,4,36,92,8,30,78,1,0
2019-06-30,7,0,4,35,94,8,29,75,1,0
2019-07-07,7,0,4,37,93,8,29,86,1,0
2019-07-14,7,0,4,37,98,8,30,93,1,0
2019-07-21,8,0,4,37,95,8,30,93,1,0
2019-07-28,7,0,4,37,100,8,28,97,1,0
2019-08-04,7,0,4,37,95,8,28,91,1,0
2019-08-11,7,0,4,39,96,8,28,90,1,0
2019-08-18,7,0,4,37,96,8,33,85,1,0
2019-08-25,6,0,4,36,93,8,31,80,1,0
2019-09-01,7,0,4,35,99,8,32,78,1,0
2019-09-08,7,0,4,35,91,9,34,78,1,0
2019-09-15,7,0,6,36,90,18,36,77,1,0
2019-09-22,7,0,5,35,90,9,35,78,1,0
2019-09-29,8,0,5,35,89,9,34,76,1,0
2019-10-06,7,0,5,34,89,8,33,75,1,0
2019-10-13,7,0,6,34,85,8,34,74,1,0
2019-10-20,8,0,5,35,84,7,33,73,1,0
2019-10-27,8,0,4,35,84,7,31,75,1,0
2019-11-03,7,0,4,35,88,8,34,78,1,0
2019-11-10,8,0,4,39,85,8,34,77,1,0
2019-11-17,20,0,4,42,91,8,35,76,1,0
2019-11-24,20,0,4,38,84,7,31,73,1,0
2019-12-01,10,0,4,36,84,8,34,77,1,0
2019-12-08,9,0,4,35,84,8,33,73,1,0
2019-12-15,9,0,4,36,87,8,28,73,1,0
2019-12-22,10,0,3,36,89,7,21,64,1,0
2019-12-29,9,0,3,40,93,10,23,67,1,0
2020-01-05,9,0,4,37,89,13,32,70,1,0
2020-01-12,10,0,4,38,89,8,33,72,1,0
2020-01-19,10,0,4,39,90,8,34,72,1,0
2020-01-26,11,0,4,37,88,9,32,73,1,0
2020-02-02,17,0,4,38,93,9,34,73,1,0
2020-02-09,11,0,4,37,88,9,35,75,1,0
2020-02-16,11,0,4,39,93,8,36,77,1,0
2020-02-23,11,0,4,37,91,10,35,78,1,0
2020-03-01,10,0,4,36,88,11,37,81,1,0
2020-03-08,10,0,4,35,79,46,35,80,1,0
2020-03-15,9,0,4,29,66,35,35,82,1,0
2020-03-22,8,0,4,27,61,24,33,80,1,0
2020-03-29,7,0,4,27,61,29,33,86,1,0
2020-04-05,6,0,4,27,61,24,31,89,1,0
2020-04-12,7,0,4,29,65,25,35,93,0,0
2020-04-19,7,0,4,28,66,84,37,96,1,0
2020-04-26,9,0,4,30,67,23,34,95,1,0
2020-05-03,8,0,4,32,71,19,35,100,1,0
2020-05-10,8,0,4,32,75,16,35,93,1,0
2020-05-17,7,0,4,35,81,16,32,97,1,0
2020-05-24,8,0,4,35,87,13,31,92,1,0
2020-05-31,9,0,4,36,88,15,33,90,1,0
2020-06-07,10,0,4,38,92,17,32,92,1,0
2020-06-14,9,0,4,40,94,14,31,91,1,0
2020-06-21,9,0,4,40,91,15,31,88,1,0
2020-06-28,10,0,4,37,94,13,30,89,1,0
2020-07-05,13,0,4,38,94,12,30,91,1,0
2020-07-12,14,0,4,51,94,12,31,89,1,0
2020-07-19,15,0,4,41,91,13,30,87,1,0
2020-07-26,11,0,4,38,93,10,30,84,0,0
2020-08-02,9,0,4,39,92,10,29,83,1,0
2020-08-09,11,0,4,38,90,10,30,87,1,0
2020-08-16,14,0,4,39,91,10,30,84,1,0
2020-08-23,14,0,4,37,88,10,32,85,1,0
2020-08-30,20,0,4,37,91,10,33,86,1,0
2020-09-06,16,0,4,35,86,11,35,85,1,0
2020-09-13,13,0,4,36,87,10,37,85,1,0
2020-09-20,16,0,4,35,88,11,37,84,1,0
2020-09-27,12,0,4,34,85,10,34,80,1,0
2020-10-04,11,0,4,35,84,10,35,82,1,0
2020-10-11,11,0,4,34,84,9,33,79,1,0
2020-10-18,11,0,4,35,82,9,35,76,1,0
2020-10-25,9,0,4,35,81,10,33,77,1,0
2020-11-01,8,0,4,31,70,10,29,71,1,0
2020-11-08,9,0,4,32,77,11,35,76,1,0
2020-11-15,12,0,4,32,77,10,35,77,1,0
2020-11-22,12,0,4,32,77,11,33,78,1,0
2020-11-29,12,0,4,32,79,11,36,78,1,0
2020-12-06,13,0,4,34,79,11,35,80,1,0
2020-12-13,12,0,4,32,80,10,32,81,1,0
2020-12-20,13,0,3,34,81,10,25,73,1,0
2020-12-27,12,0,4,35,83,10,24,72,1,0
2021-01-03,18,0,4,34,80,12,30,73,1,0
2021-01-10,19,0,4,38,81,11,32,78,1,0
2021-01-17,14,0,4,36,78,11,32,76,1,0
2021-01-24,17,0,4,36,78,10,31,75,1,0
2021-01-31,14,0,4,34,80,11,34,78,1,0
2021-02-07,14,0,4,35,84,11,32,77,1,0
2021-02-14,13,0,4,35,82,14,32,82,1,0
2021-02-21,15,0,4,36,88,14,33,83,1,0
2021-02-28,14,0,4,36,84,13,34,82,1,0
2021-03-07,16,0,4,36,85,14,34,82,1,0
2021-03-14,13,0,4,37,87,13,35,85,1,0
2021-03-21,12,0,4,36,86,12,32,83,1,0
2021-03-28,11,0,4,36,89,11,30,84,1,0
2021-04-04,11,0,4,36,87,10,30,84,1,0
2021-04-11,12,0,4,37,84,10,33,89,1,0
2021-04-18,13,0,4,36,86,10,32,87,1,0
2021-04-25,12,0,4,35,86,10,31,85,1,0
2021-05-02,10,0,4,34,86,11,31,84,1,0
2021-05-09,13,0,4,35,86,11,30,85,1,0
2021-05-16,13,0,4,37,88,11,31,84,1,0
2021-05-23,11,0,4,36,88,11,31,85,1,0
2021-05-30,11,0,4,36,89,12,30,82,1,0
2021-06-06,11,0,4,36,92,13,30,84,1,0
2021-06-13,10,0,4,35,91,13,29,81,1,0
2021-06-20,11,0,4,36,94,13,31,80,1,0
2021-06-27,11,0,4,35,94,12,29,80,1,0
2021-07-04,10,0,4,34,94,13,28,80,1,0
2021-07-11,10,0,4,36,93,12,28,85,1,0
2021-07-18,10,0,4,37,98,11,33,86,1,0
2021-07-25,11,0,4,35,93,11,34,85,1,0
2021-08-01,11,0,4,35,97,11,33,87,1,0
2021-08-08,10,0,4,35,93,11,32,84,1,0
2021-08-15,11,0,4,35,92,10,32,85,1,0
2021-08-22,11,0,4,35,91,10,33,83,1,0
2021-08-29,10,0,4,34,90,10,34,84,1,0
2021-09-05,10,0,4,34,88,9,35,78,1,0
2021-09-12,10,0,4,33,87,10,37,80,1,0
2021-09-19,9,0,4,34,84,10,37,81,1,0
2021-09-26,10,0,4,32,83,12,36,78,1,0
2021-10-03,9,0,3,27,72,11,31,73,1,0
2021-10-10,9,0,3,27,67,10,28,76,1,0
2021-10-17,10,0,4,27,67,10,29,75,1,0
2021-10-24,13,0,4,26,67,9,29,76,1,0
2021-10-31,13,0,3,27,68,10,26,72,1,0
2021-11-07,13,0,4,27,69,9,28,74,1,0
2021-11-14,11,0,4,27,68,8,29,73,1,0
2021-11-21,10,0,3,26,66,10,26,73,1,0
2021-11-28,10,0,3,27,68,11,29,76,1,0
2021-12-05,10,0,3,26,64,9,29,74,1,0
