,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2019-12-31,9.098668098449707,36.15889358520508,418.3299865722656,9.300000190734863,36.599998474121094,418.3299865722656,9.329999923706055,36.73500061035156,421.2900085449219,9.239999771118164,36.31999969482422,402.0799865722656,9.25,36.369998931884766,405.00030517578125,32345377,5160227,10292456
2020-01-02,9.216070175170898,36.92949676513672,430.260009765625,9.420000076293945,37.380001068115234,430.260009765625,9.420000076293945,37.380001068115234,430.6957092285156,9.1899995803833,36.54999923706055,421.7099914550781,9.289999961853027,37.0,424.5,43432239,7457292,9558386
2020-01-03,9.010616302490234,35.88227081298828,443.010009765625,9.210000038146973,36.31999969482422,443.010009765625,9.369999885559082,36.91999816894531,454.0,9.149999618530273,36.11000061035156,436.9200134277344,9.3100004196167,36.72999954223633,440.5,45059915,9176038,17794697
2020-01-06,8.961698532104492,35.408058166503906,451.5400085449219,9.15999984741211,35.84000015258789,451.5400085449219,9.170000076293945,36.18000030517578,451.55999755859375,9.0600004196167,35.79999923706055,440.0,9.100000381469727,35.95000076293945,440.4700012207031,43380677,8413360,10157499
2020-01-07,9.049750328063965,34.726375579833984,469.05999755859375,9.25,35.150001525878906,469.05999755859375,9.25,35.84000015258789,471.6300048828125,9.119999885559082,34.7400016784668,453.3550109863281,9.199999809265137,35.75,461.3999938964844,43909990,17087304,17735603
2020-01-08,9.049750328063965,34.232398986816406,492.1400146484375,9.25,34.650001525878906,492.1400146484375,9.300000190734863,35.20000076293945,498.489990234375,9.170000076293945,34.40999984741211,468.2300109863281,9.229999542236328,35.040000915527344,473.70001220703125,46003049,13229924,31199393
2020-01-09,9.059534072875977,34.65721893310547,481.3399963378906,9.260000228881836,35.08000183105469,481.3399963378906,9.3100004196167,35.099998474121094,498.79998779296875,9.180000305175781,34.53010177612305,472.8699951171875,9.300000190734863,34.9900016784668,497.1000061035156,51905116,9612874,28463186
2020-01-10,9.049750328063965,34.232398986816406,478.1499938964844,9.25,34.650001525878906,478.1499938964844,9.359999656677246,36.45000076293945,484.94000244140625,9.25,34.505001068115234,473.70001220703125,9.270000457763672,35.150001525878906,481.7900085449219,39819244,9604653,12976832
2020-01-13,9.039966583251953,34.55842208862305,524.8599853515625,9.239999771118164,34.97999954223633,524.8599853515625,9.260000228881836,35.0,525.6300048828125,9.109999656677246,34.4900016784668,492.0,9.25,34.689998626708984,493.5,48562151,7466898,26634547
